id,lat,lon,name,operator,brand
7944269485,47.2698833,8.5878572,unknown,unknown,unknown
8191417545,47.4306294,8.6875185,Garage plus,unknown,unknown
8262631150,47.4154408,8.7205647,Agrola,unknown,Agrola
8278567115,47.360375,8.793889,Lenzlinger Tankstellen,Lenzlinger Söhne AG,unknown
8349863451,47.4750355,8.4811385,unknown,unknown,unknown
8714466441,47.5218943,8.8904804,unknown,Agrola,unknown
9005199657,47.3251676,8.7859423,AVIA,unknown,Avia
9097117332,47.4982955,8.75433,Etzelpark Winti Benzin,Petrol Tech GmbH,Etzelpark
9349521108,47.4611631,8.5183392,Avia,unknown,Avia
9420034735,47.3807486,8.6828929,Coop,Coop Mineraloel,Coop
10160267814,47.516341,8.6782876,Tamoil Tankstelle,Tamoil,Tamoil
10598764329,47.3822548,8.5224674,unknown,SBB,unknown
10707802410,47.631078,8.7866392,Agrola,unknown,Agrola
10873466298,47.5738509,8.5991929,Avia,unknown,Avia
11002965308,47.2638378,8.7260174,unknown,unknown,unknown
11247572502,47.2868609,8.6070774,Avia,unknown,unknown
11247572508,47.2979957,8.5979311,Avia,unknown,Avia
11323344293,47.3020303,8.8456263,AVIA,unknown,Avia
11329043056,47.2556356,8.687028,Avia,unknown,Avia
11446164240,47.4888862,8.5944169,Agrola,unknown,Agrola
11486230578,47.3998792,8.6249075,Tamoil,unknown,Tamoil
11486230579,47.3945209,8.6548163,Gfenn Benzin,Voegtlin-Meyer,unknown
11486230581,47.3823596,8.6713659,Volkiland,Coop Mineraloel,Coop
11767444235,47.3928416,8.4929085,unknown,energie360°,unknown
11842384092,47.2859651,8.617557,Agrola,LANDI Mittlerer Zürisee,Agrola
11902521971,47.5168422,8.7701156,unknown,SBB,unknown
12050268278,47.5132079,8.766567,unknown,unknown,unknown
12163869425,47.5162612,8.7662624,Coop,unknown,unknown
12310159890,47.3362305,8.6200573,Avia,unknown,Avia
12465103095,47.4167133,8.3967135,unknown,unknown,coop
12722342587,47.3926867,8.4930633,unknown,energie360°,unknown
12798245971,47.2209381,8.6607112,Tamoil,unknown,Tamoil
12863583714,47.4321508,8.4688584,BP Service Regensdorf,unknown,BP
13058180125,47.5236355,8.7153962,BP,unknown,BP
13058229174,47.5284228,8.7099753,Migrol Tankstelle Seuzach,Migrol,Migrol
13069101333,47.2883526,8.5436421,Tamoil,unknown,Tamoil
13438064802,47.3030551,8.6910203,Soft Car Wash,unknown,unknown
13556440625,47.4120437,8.4550254,BP Service Engstringen,unknown,BP
