web-scraper-order,address_raw,lat,lon,bfs_number,bfs_name
1662023727-691,"8330 Pfäffikon ZH, ZH",47.366024017333984,8.783287048339844,177,Pfäffikon
1662023698-479,"Obermattstrasse 82, 8330 Pfäffikon ZH, ZH",47.370731353759766,8.782037734985352,177,Pfäffikon
1662023730-704,"Dorfstrasse 84, 8954 Geroldswil, ZH",47.42408752441406,8.411906242370605,244,Geroldswil
1662023771-1023,"Soodstrasse 13, 8134 Adliswil, ZH",47.313804626464844,8.526074409484863,131,Adliswil
1662023767-998,"Steinmürlistrasse 42, 8953 Dietikon, ZH",47.40464401245117,8.392952919006348,243,Dietikon
1662023807-1298,"Grünaustrasse 12, 8953 Dietikon, ZH",47.4099235534668,8.403440475463867,243,Dietikon
1662023810-1344,"Grünaustrasse 10, 8953 Dietikon, ZH",47.40949249267578,8.403727531433105,243,Dietikon
1662023793-1200,"Obere Leihofstrasse 13, 8820 Wädenswil, ZH",47.22357177734375,8.666900634765625,293,Wädenswil
1662023761-955,"Alte Landstrasse 99, 8804 Au ZH, ZH",47.247032165527344,8.634622573852539,293,Wädenswil
1662023692-420,"Zürcherstrasse 10, 8193 Eglisau, ZH",47.57310104370117,8.523083686828613,55,Eglisau
1662023720-641,"Sandgruebstrasse 9, 8193 Eglisau, ZH",47.56932067871094,8.523771286010742,55,Eglisau
1662023692-418,"Zürcherstrasse 10, 8193 Eglisau, ZH",47.57310104370117,8.523083686828613,55,Eglisau
1662023730-701,"Pfruendmattstrasse 11, 8932 Mettmenstetten, ZH",47.24324035644531,8.465059280395508,9,Mettmenstetten
1662023698-474,"Goethestr. 26, 8712 Stäfa, ZH",47.240726470947266,8.724349021911621,158,Stäfa
1662023780-1100,"Hauflandweg 18, 8605 Gutenswil, ZH",47.38703155517578,8.718835830688477,199,Volketswil
1662023752-875,"Brunnenrain 18, 8415 Berg am Irchel, ZH",47.5706901550293,8.596415519714355,23,Berg am Irchel
1662023689-402,"Dorfstrasse 31, 8196 Wil ZH, ZH",47.60468292236328,8.508256912231445,71,Wil (ZH)
1662023692-429,"Im Riet 14, 8427 Freienstein, ZH",47.53696060180664,8.580428123474121,68,Rorbas
1662023711-553,"8192 Glattfelden, ZH",47.56193923950195,8.499773979187012,58,Glattfelden
1662023707-541,"Eichhölzlistrasse 38, 8192 Glattfelden, ZH",47.55503463745117,8.505518913269043,58,Glattfelden
1662023777-1079,"Seestrasse 65, 8810 Horgen, ZH",47.264278411865234,8.589810371398926,295,Horgen
1662023730-706,"8810 Horgen, ZH",47.26087951660156,8.599017143249512,295,Horgen
1662023727-681,"Schleifetobelweg 20, 8810 Horgen, ZH",47.25609588623047,8.597591400146484,295,Horgen
1662023692-417,"Bärenweidstrasse 12, 8833 Samstagern, ZH",47.193599700927734,8.679973602294922,138,Richterswil
1662023686-376,"Obermülistrasse 39, 8320 Fehraltorf, ZH",47.38801956176758,8.747424125671387,172,Fehraltorf
1662023801-1269,"Büelstrasse 1, 8132 Egg b. Zürich, ZH",47.303279876708984,8.68857479095459,192,Egg
1662023777-1065,"Boulevard Lilienthal 5, 8152 Opfikon, ZH",47.42422866821289,8.562675476074219,66,Opfikon
1662023742-806,"Dufaux-Strasse 47, 8152 Opfikon, ZH",47.42148971557617,8.561450958251953,66,Opfikon
1662023736-767,"Frohburgweg 5, 8180 Bülach, ZH",47.52424621582031,8.539907455444336,53,Bülach
1662023720-629,"Allmendstrasse 29, 8180 Bülach, ZH",47.514713287353516,8.533659934997559,53,Bülach
1662023704-506,"Pfarrhausstrasse 18a, 8344 Bäretswil, ZH",47.337013244628906,8.853507041931152,111,Bäretswil
1662023692-427,"8421 Dättlikon, ZH",47.523521423339844,8.610370635986328,215,Dättlikon
1662023686-363,"Pappelstr. 22, 8305 Dietlikon, ZH",47.41817855834961,8.62304973602295,54,Dietlikon
1662023736-763,"Riedmühlestr. 7b, 8305 Dietlikon, ZH",47.426753997802734,8.621732711791992,54,Dietlikon
1662023804-1278,"Altburgstr. 19, 8105 Regensdorf, ZH",47.42815399169922,8.47533893585205,96,Regensdorf
1662023804-1294,"Unterdorfstrasse 1,, 8113 Boppelsen, ZH",47.470767974853516,8.401324272155762,82,Boppelsen
1662023810-1341,"Stallikonerstr. 107, 8903 Birmensdorf ZH, ZH",47.35337448120117,8.460884094238281,242,Birmensdorf (ZH)
1662023717-621,"Unter-Rüti 2, 8487 Zell ZH, ZH",47.44456100463867,8.816251754760742,231,Zell (ZH)
1662023798-1227,"Lindenstrasse 34, 8155 Niederhasli, ZH",47.48217010498047,8.489461898803711,90,Niederhasli
1662023813-1353,"Rechweg 14, 8600 Dübendorf, ZH",47.40066146850586,8.628510475158691,191,Dübendorf
1662023711-565,"Seestrasse 33, 8800 Thalwil, ZH",47.28500747680664,8.576184272766113,141,Thalwil
1662023777-1075,"Bahnhofstr. 59, 8902 Urdorf, ZH",47.38587951660156,8.427583694458008,250,Urdorf
1662023727-694,"Säntisstrasse 6a, 8942 Oberrieden, ZH",47.2718505859375,8.575986862182617,137,Oberrieden
1662023689-393,"Otelfingerstrasse, 8115 Hüttikon, ZH",47.446327209472656,8.386990547180176,87,Hüttikon
1662023686-365,"Zelglistrasse 9, 8311 Brütten, ZH",47.47028350830078,8.673417091369629,213,Brütten
1662023711-568,"Pfarrhausstrasse 28, 8424 Embrach, ZH",47.50019073486328,8.597267150878906,56,Embrach
1662023704-518,"Kirchstrasse 19, 8245 Feuerthalen, ZH",47.691505432128906,8.637733459472656,27,Feuerthalen
